"varname","code","label","naaccr_description"
"n_sex","1","m",
"n_sex","2","f",
"n_hisp","0","Non_Hispanic","Non-Spanish; non-Hispanic"
"n_hisp","1","Mexican","Mexican (includes Chicano)"
"n_hisp","2","Puerto_Rican","Puerto Rican"
"n_hisp","3","Cuban","Cuban"
"n_hisp","4","S_Ctr_America","South or Central American (except Brazil)"
"n_hisp","5","Hispanic_Other","Other specified Spanish/Hispanic origin (includes European; excludes Dominican Republic)"
"n_hisp","6","Hispanic_NOS","Hispanic, NOS"
"n_hisp","7","Spanish_Surname","Spanish surname only"
"n_hisp","8","Dominican","Dominican Republic"
"n_hisp","9","Unknown","Unknown whether Spanish or not"
"n_cstatus","1","Tumor_Free","No evidence of this tumor"
"n_cstatus","2","Tumor","Evidence of this tumor"
"n_cstatus","9","Unknown","Unknown, indeterminate whether this tumor is present, not stated in patient record"
"n_cstatus","2,1","Tumor",
"n_cstatus","2,9","Tumor",
"n_cstatus","9,1","Unknown",
"n_vtstat","0","Dead","Dead"
"n_vtstat","1","Alive","Alive"
"_rc","1","white","White"
"_rc","2","black","Black"
"_rc","3","am indian","American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)"
"_rc","4","asian","Chinese"
"_rc","5","asian","Japanese"
"_rc","6","pac islander","Filipino"
"_rc","7","pac islander","Hawaiian"
"_rc","8","asian","Korean"
"_rc","10","asian","Vietnamese"
"_rc","11","asian","Laotian"
"_rc","12","asian","Hmong"
"_rc","13","asian","Kampuchean (Cambodian)"
"_rc","14","asian","Thai"
"_rc","15","asian","Asian Indian or Pakistani, NOS (code 09 prior to Version 12)"
"_rc","16","asian","Asian Indian"
"_rc","17","asian","Pakistani"
"_rc","20","pac islander","Micronesian, NOS"
"_rc","21","pac islander","Chamorro/Chamoru"
"_rc","22","pac islander","Guamanian, NOS"
"_rc","25","pac islander","Polynesian, NOS"
"_rc","26","pac islander","Tahitian"
"_rc","27","pac islander","Samoan"
"_rc","28","pac islander","Tongan"
"_rc","30","pac islander","Melanesian, NOS"
"_rc","31","pac islander","Fiji Islander"
"_rc","32","pac islander","New Guinean"
"_rc","96","asian","Other Asian, including Asian, NOS and Oriental, NOS"
"_rc","97","pac islander","Pacific Islander, NOS"
"_rc","98","other","Other"
"_rc","99","unknown","Unknown"
"n_qsurv","0","Normal","Normal activity"
"n_qsurv","1","Symptomatic","Symptomatic and ambulatory"
"n_qsurv","2","Ambulatory >50pct","Ambulatory more than 50 percent of the time, occasionally needs assistance"
"n_qsurv","3","Ambulatory <50pct","Ambulatory less than 50 percent of the time, nursing care needed"
"n_qsurv","4","Bedridden","Bedridden, may require hospitalization"
"n_qsurv","8","NA or Deceased","Not applicable, dead"
"n_qsurv","9","Unknown","Unknown or unspecified"
"n_payer","01","Not Insured","Not insured"
"n_payer","02","Sefl-Pay","Not insured, self-pay"
"n_payer","10","Insurance NOS","Insurance, NOS"
"n_payer","20","Managed Care, HMO, PPO","Private Insurance: Managed care, HMO, or PPO"
"n_payer","21","Private Fee-for-Service","Private Insurance: Fee-for-Service"
"n_payer","31","Medicaid","Medicaid"
"n_payer","35","Medicaid Managed Care Plan","Medicaid - Administered through a Managed Care plan"
"n_payer","60","Medicare/Medicaid NOS","Medicare/Medicare, NOS"
"n_payer","61","Medicare w Supplement NOS","Medicare with supplement, NOS"
"n_payer","62","Medicare Managed Care Plan","Medicare - Administered through a Managed Care plan"
"n_payer","63","Medicare w Private Supplement","Medicare with private supplement"
"n_payer","64","Medicare w Medicaid","Medicare with Medicaid eligibility"
"n_payer","65","TriCare","TRICARE"
"n_payer","66","Military","Military"
"n_payer","67","VA","Veterans Affairs"
"n_payer","68","Indian PHS","Indian/Public Health Service"
"n_payer","99","Unknown","Insurance status unknown"
